,band_name,fans,formed,origin,split,style
75,"Swallow The Sun",900,2000,"Finland",2000,"Melodic death,Melodic doom"
76,"Gamma Ray",898,1988,"Germany",-,"Power"
77,"Rhapsody Of Fire",896,1993,"Italy",1993,"Symphonic power"
78,"Hypocrisy",885,1990,"Sweden",-,"Death,Melodic death,Gothenburg"
79,"Motörhead",875,1975,"United Kingdom, USA",1975,"Heavy"
80,"Bloodbath",872,1998,"Sweden",-,"Death"
81,"Korpiklaani",864,2003,"Finland",2003,"Folk"
82,"Manowar",863,1980,"USA",-,"Heavy,Us power"
83,"HammerFall",861,1993,"Sweden",1993,"Power"
84,"At The Gates",839,1990,"Sweden",-,"Melodic death,Gothenburg"
85,"Sabaton",824,1999,"Sweden",1999,"Power"
86,"Mayhem",823,1984,"Norway",-,"Death,Black"
87,"Vader",822,1983,"Poland",1983,"Death"
88,"Avantasia",819,1999,"Germany",-,"Symphonic power"
89,"Rotting Christ",807,1987,"Greece",1987,"Black,Gothic"
90,"Summoning",799,1993,"Austria",-,"Atmospheric black"
91,"Sodom",783,1980,"Germany",1980,"Teutonic thrash"
92,"Overkill",770,1980,"USA",-,"Thrash"
93,"Dissection",768,1989,"Sweden",1989,"Melodic death,Melodic black"
94,"Satyricon",768,1990,"Norway",-,"Black"
95,"Rush",767,1968,"Canada",1968,"Progressive rock"
96,"Darkthrone",753,1986,"Norway",-,"Death,Black,Crust punk ,Heavy"
97,"Ozzy Osbourne",750,1979,"United Kingdom, USA",1979,"Heavy"
98,"Devin Townsend",747,1996,"Canada",-,"Industrial progressive,Progressive"
99,"Alcest",734,2000,"France",2000,"Black,Shoegaze"
100,"Equilibrium",729,2001,"Germany",-,"Viking folk"
101,"Deep Purple",714,1968,"United Kingdom",1968,"Heavy,Hard rock"
102,"Edguy",714,1992,"Germany",-,"Power"
103,"Soilwork",702,1995,"Sweden",1995,"Gothenburg"
104,"Riverside",684,2001,"Poland",-,"Progressive"
105,"Trivium",681,2000,"USA",2000,"Metalcore,Alternative thrash"
106,"Turisas",672,1997,"Finland",-,"Folk"
107,"Orphaned Land",662,1991,"Israel",1991,"Progressive folk,Death,Folk"
108,"Apocalyptica",656,1993,"Finland",-,"Symphonic heavy"
109,"King Diamond",641,1985,"Denmark, USA",1985,"Heavy"
110,"Angra",633,1991,"Brazil",-,"Progressive power"
111,"Deicide",628,1987,"USA",1987,"Death"
112,"Alice In Chains",627,1985,"USA",-,"Grunge ,Heavy"
113,"Haggard",622,1991,"Germany",1991,"Experimental death,Symphonic"
114,"Disturbed",620,1996,"USA",-,"Nu,Alternative"
115,"DragonForce",607,1999,"United Kingdom",1999,"Power"
116,"Lacuna Coil",604,1994,"Italy",-,"Gothic,Alternative"
117,"Accept",601,1968,"Germany",1968,"Heavy"
118,"Arcturus",601,1990,"Norway",-,"Avantgarde black,Avantgarde"
119,"Omnium Gatherum",599,1996,"Finland",1996,"Melodic death"
120,"Obituary",596,1984,"USA",-,"Death"
121,"Pain Of Salvation",596,1984,"Sweden",1984,"Progressive,Progressive rock"
122,"Necrophagist",595,1992,"Germany",-,"Technical death"
123,"Fear Factory",594,1989,"USA",1989,"Industrial,Death"
124,"Tristania",594,1996,"Norway",-,"Symphonic gothic,Gothic"
125,"Decapitated",587,1996,"Poland",1996,"Technical death"
126,"Fleshgod Apocalypse",586,2007,"Italy",-,"Symphonic death"
127,"Primordial",583,1987,"Ireland",1987,"Black,Celtic folk"
128,"Candlemass",579,1984,"Sweden",-,"Epic doom"
129,"Scar Symmetry",574,2004,"Sweden",2004,"Melodic death,Progressive power"
130,"Eternal Tears Of Sorrow",573,1991,"Finland",-,"Extreme power,Melodic death"
131,"Marduk",567,1990,"Sweden",1990,"Black"
132,"Annihilator",565,1984,"Canada",-,"Thrash,Heavy"
133,"Alestorm",558,2004,"United Kingdom",2004,"Folk,Power"
134,"Ghost",547,2008,"Sweden",-,"Heavy,Psychedelic rock"
135,"Ulver",545,1992,"Norway",1992,"Folk,Electronic,Avantgarde ,Black"
136,"Cynic",542,1987,"USA",-,"Progressive death,Progressive"
137,"Ne Obliviscaris",539,2003,"Australia",2003,"Extreme progressive"
138,"In Mourning",533,2000,"Sweden",-,"Gothic,Melodic death,Progressive"
139,"Obscura",532,2002,"Germany",2002,"Progressive death,Technical death"
140,"Korn",531,1993,"USA",-,"Nu,Alternative"
141,"Evergrey",528,1996,"Sweden",1996,"Progressive,Power"
142,"Týr",526,1998,"Faroe Islands",-,"Folk"
143,"Type O Negative",526,1989,"USA",1989,"Gothic,Doom"
144,"Mercyful Fate",525,1981,"Denmark, USA",-,"Heavy,First wave of black"
145,"Saturnus",522,1991,"Denmark",1991,"Death,Gothic doom"
146,"Bolt Thrower",519,1986,"United Kingdom",2016,"Death,Grindcore"
147,"Scorpions",519,1965,"Germany",1965,"Progressive rock,Hard rock,Heavy"
148,"Napalm Death",516,1981,"United Kingdom",-,"Hardcore,Grindcore,Punk"
149,"Windir",514,1994,"Norway",1994,"Viking black"
150,"Sentenced",510,1988,"Finland",2005,"Death,Suomi,Depressive heavy,Melodic death"
151,"Tiamat",510,1988,"Sweden",1988,"Death,Atmospheric gothic"
152,"Killswitch Engage",500,1999,"USA",-,"Melodic metalcore"
153,"Gorgoroth",498,1992,"Norway",1992,"Black"
154,"Celtic Frost",497,1984,"Switzerland",2008,"First wave of black,Avantgarde,Thrash"
155,"Rainbow",497,1975,"United Kingdom",1975,"Hard rock,Heavy"
156,"Suffocation",497,1990,"USA",-,"Brutal death"
157,"Kataklysm",493,1991,"Canada",1991,"Death"
158,"Dying Fetus",488,1991,"USA",-,"Brutal death,Deathgrind,Technical death"
159,"Norther",488,1996,"Finland",1996,"Extreme power"
160,"Sirenia",488,2001,"Norway",-,"Symphonic gothic"
161,"Savatage",482,1978,"USA",1978,"Progressive heavy"
162,"Empyrium",481,1994,"Germany",-,"Doom,Folk,Neofolk"
163,"Guns N' Roses",481,1985,"USA",1985,"Hard rock"
164,"Venom",481,1979,"United Kingdom",-,"First wave of black,Heavy"
165,"Dark Funeral",479,1993,"Sweden",1993,"Black"
166,"Avenged Sevenfold",477,1999,"USA",-,"Metalcore,Heavy,Alternative"
167,"Destruction",477,1983,"Germany",1983,"Teutonic thrash"
168,"Edge Of Sanity",472,1989,"Sweden",2003,"Progressive death"
169,"After Forever",470,1995,"The Netherlands",1995,"Symphonic gothic,Symphonic progressive"
170,"Ihsahn",464,2005,"Norway",-,"Extreme progressive,Avantgarde"
171,"Diablo Swing Orchestra",458,2003,"Sweden",2003,"Avantgarde,Symphonic"
172,"Arkona",450,2002,"Russia",-,"Pagan folk"
173,"Leprous",444,2001,"Norway",2001,"Progressive"
174,"Between The Buried And Me",441,2000,"USA",-,"Progressive metalcore"
175,"Death Angel",441,1982,"USA",1982,"Bay area thrash"
176,"W.A.S.P.",440,1982,"USA",-,"Heavy"
177,"As I Lay Dying",424,2001,"USA",2001,"Melodic metalcore"
178,"Black Label Society",424,1998,"USA",-,"Heavy"
179,"Borknagar",420,1995,"Norway",1995,"Melodic black,Progressive black"
180,"Isis",420,1997,"USA",2010,"Post-metal,Atmospheric sludge"
181,"Soulfly",417,1997,"USA",1997,"Groove thrash,Nu"
182,"Atheist",411,1984,"USA",-,"Technical death"
183,"DevilDriver",411,2002,"USA",2002,"Nu,Melodic death,Groove thrash"
184,"Shining",410,1996,"Sweden",-,"Depressive black,Progressive black"
185,"Strapping Young Lad",409,1995,"Canada",1995,"Industrial,Thrash"
186,"The Gathering",409,1989,"The Netherlands",-,"Doom,Death doom,Atmospheric gothic,Experimental rock"
187,"Anaal Nathrakh",399,1998,"United Kingdom",1998,"Black,Grindcore"
188,"Ghost Brigade",398,2005,"Finland",-,"Post-metal,Alternative"
189,"Delain",395,2002,"The Netherlands",2002,"Symphonic"
190,"Watain",391,1998,"Sweden",-,"Black"
191,"Saxon",387,1976,"United Kingdom",1976,"New wave of british heavy,Heavy"
192,"Vektor",387,2002,"USA",-,"Technical thrash,Progressive thrash"
193,"Immolation",386,1986,"USA",1986,"Death"
194,"Firewind",382,1998,"Greece",-,"Power,Heavy"
195,"Mors Principium Est",381,1999,"Finland",1999,"Gothenburg"
196,"Samael",381,1987,"Switzerland",-,"Black,Electro industrial"
197,"Bullet For My Valentine",379,1998,"United Kingdom",1998,"Melodic metalcore"
198,"Entombed",379,1987,"Sweden",-,"Death,Death ',N',Roll"
199,"Steven Wilson",375,2003,"United Kingdom",2003,"Progressive rock"
200,"Xandria",372,1994,"Germany",-,"Gothic,Symphonic"
201,"Drudkh",369,2002,"Ukraine",2002,"Atmospheric black,Pagan black"
202,"Animals As Leaders",367,2007,"USA",-,"Progressive,Instrumental,Djent"
203,"Queensrÿche",367,1981,"USA",1981,"Heavy,Progressive heavy,Progressive rock"
204,"Powerwolf",364,2003,"Germany",-,"Power"
205,"Belphegor",363,1991,"Austria",1991,"Black,Death"
206,"Alice Cooper",362,1964,"USA",-,"Hard rock,Glam rock,New,Wave ,Heavy"
207,"Before The Dawn",359,1999,"Finland",1999,"Gothic,Melodic death"
208,"The Faceless",358,2004,"USA",-,"Deathcore,Progressive death,Technical death"
209,"Deftones",357,1988,"USA",1988,"Nu,Alternative"
210,"Primal Fear",354,1997,"Germany",-,"Power"
211,"Theatre Of Tragedy",354,1993,"Norway",1993,"Gothic,Gothic industrial"
212,"KISS",352,1972,"USA",-,"Hard rock,Symphonic rock,Glam,Heavy"
213,"Down",351,1991,"USA",1991,"Heavy,Sludge,Stoner"
214,"Skeletonwitch",349,2003,"USA",-,"Blackened thrash"
215,"Rage Against The Machine",344,1991,"USA",1991,"Alternative,Nu"
216,"Wolves In The Throne Room",343,2004,"USA",-,"Atmospheric black"
217,"Five Finger Death Punch",342,2005,"USA",2005,"Groove metal"
218,"Electric Wizard",341,1993,"United Kingdom",-,"Doom,Stoner"
219,"Nine Inch Nails",341,1988,"USA",1988,"Industrial rock,Industrial"
220,"Novembers Doom",341,1989,"USA",-,"Death doom,Melodic death"
221,"Dethklok",337,2006,"USA",2006,"Melodic death"
222,"Faith No More",337,1981,"USA",-,"Alternative"
223,"Cryptopsy",334,1988,"Canada",1988,"Brutal death,Technical death,Death"
224,"Falkenbach",332,1989,"Germany",-,"Black,Viking folk,Folk"
225,"Graveworm",331,1992,"Italy",1992,"Gothic,Symphonic black"
226,"Taake",331,1993,"Norway",-,"Black"
227,"Grave Digger",328,1980,"Germany",1980,"Heavy"
228,"Rob Zombie",326,1998,"USA",-,"Alternative,Industrial"
229,"The Black Dahlia Murder",326,2001,"USA",2001,"Melodic death,Metalcore"
230,"Running Wild",324,1976,"Germany",-,"Heavy,Speed"
231,"Neurosis",322,1985,"USA",1985,"Atmospheric sludge,Post-hardcore ,Post-metal"
232,"Carach Angren",320,2003,"The Netherlands",-,"Symphonic black"
233,"Dark Moor",320,1994,"Spain",1994,"Symphonic power"
234,"Baroness",319,2003,"USA",-,"Sludge,Stoner rock,Progressive rock"
235,"King Crimson",319,1969,"United Kingdom",1969,"Progressive rock"
236,"Shape Of Despair",319,1995,"Finland",-,"Funeral doom"
237,"Bruce Dickinson",315,1989,"United Kingdom",1989,"Heavy"
238,"Demons And Wizards",315,1999,"USA",-,"Heavy,Power"
239,"Deathspell Omega",314,1998,"France",1998,"Black,Avantgarde"
240,"Lacrimosa",312,1990,"Germany",-,"Gothic,Symphonic"
241,"Coroner",311,1985,"Switzerland",1985,"Technical thrash"
242,"Masterplan",311,2001,"Germany",-,"Progressive power"
243,"Tarja",310,2004,"Finland",2004,"Symphonic"
244,"Ahab",309,2004,"Germany",-,"Funeral doom"
245,"Melechesh",307,1993,"Israel, The Netherlands",1993,"Melodic black,Folk"
246,"Rage",306,1986,"Germany",-,"Heavy"
247,"Cult Of Luna",305,1998,"Sweden",1998,"Post-metal,Sludge"
248,"Suidakra",305,1994,"Germany",-,"Melodic death,Folk"
249,"Yngwie Malmsteen",304,1978,"Sweden",1978,"Neoclassical power"
250,"Kyuss",301,1988,"USA",1995,"Stoner,Stoner rock"
251,"All That Remains",298,1998,"USA",1998,"Melodic metalcore"
252,"Marilyn Manson",298,1989,"USA",-,"Industrial rock,Alternative,Industrial,Glam rock,Alternative rock"
253,"Sólstafir",297,1995,"Iceland",1995,"Atmospheric black,Post-rock"
254,"Woods Of Ypres",297,2002,"Canada",2011,"Melodic black,Doom,Gothic doom"
255,"Blut Aus Nord",296,1994,"France",1994,"Atmospheric black,Industrial"
256,"Godsmack",296,1995,"USA",-,"Alternative,Hard rock"
257,"Haken",293,2007,"United Kingdom",2007,"Progressive"
258,"HIM",293,1995,"Finland",-,"Suomi"
259,"Warbringer",293,2004,"USA",2004,"Thrash"
260,"Havok",289,2004,"USA",-,"Thrash"
261,"Novembre",288,1990,"Italy",1990,"Death doom,Extreme progressive"
262,"Evile",285,2004,"United Kingdom",-,"Thrash"
263,"Six Feet Under",283,1993,"USA",1993,"Death"
264,"Leaves' Eyes",281,2003,"Germany",-,"Atmospheric symphonic"
265,"Old Man's Child",281,1989,"Norway",1989,"Thrash,Death,Symphonic black"
266,"Chimaira",280,1998,"USA",2014,"Groove thrash"
267,"Persefone",279,2001,"Andorra",2001,"Melodic death,Progressive"
268,"Heaven Shall Burn",276,1996,"Germany",-,"Metalcore,Melodic death"
269,"Myrath",275,2001,"Tunisia, France",2001,"Progressive,Oriental folk"
270,"Freedom Call",272,1998,"Germany",-,"Power"
271,"Green Carnation",272,1990,"Norway",1990,"Death,Gothic,Progressive"
272,"High On Fire",272,1998,"USA",-,"Stoner,Sludge"
273,"Metal Church",268,1980,"USA",1980,"Heavy,Thrash"
274,"Sylosis",267,2000,"United Kingdom",-,"Melodic death,Progressive thrash"
275,"Danzig",266,1988,"USA",1988,"Hard rock"
276,"Elvenking",265,1997,"Italy",-,"Folk,Power"
277,"Triptykon",265,2008,"Switzerland",2008,"Blackened thrash,Death"
278,"Volbeat",264,2001,"Denmark",-,"Heavy,Hard rock"
279,"The Haunted",263,1996,"Sweden",1996,"Alternative thrash,Thrash,Melodic death"
280,"Carpathian Forest",262,1990,"Norway",-,"Black"
281,"Van Halen",262,1972,"USA",1972,"Hard rock,Heavy"
282,"Falconer",261,1999,"Sweden",-,"Folk,Power"
283,"Pain",261,1996,"Sweden",1996,"Gothic industrial"
284,"Unleashed",260,1989,"Sweden",-,"Melodic death"
285,"Protest The Hero",258,2001,"Canada",2001,"Metalcore,Progressive metalcore"
286,"Gorguts",257,1989,"Canada",-,"Death,Technical death,Avantgarde"
287,"Circus Maximus",256,2000,"Norway",2000,"Progressive"
288,"Aborted",255,1995,"Belgium",-,"Brutal death,Melodic death,Grindcore"
289,"Municipal Waste",254,2000,"USA",2000,"Crossover thrash"
290,"Virgin Black",253,1995,"Australia",-,"Gothic,Doom"
291,"Dismember",252,1988,"Sweden",1988,"Death"
292,"Joe Satriani",252,1984,"USA",-,"Hard rock,Rock,Instrumental"
293,"Barren Earth",250,2007,"Finland",2007,"Melodic death,Progressive"
294,"Dream Evil",250,1999,"Sweden",-,"Heavy,Power"
295,"Krisiun",249,1990,"Brazil",1990,"Brutal death"
296,"Negur? Bunget",249,1995,"Romania",-,"Black,Folk"
297,"Uaral",248,1996,"Chile",1996,"Doom,Neofolk"
298,"Amaranthe",247,2008,"Sweden",-,"Power,Industrial"
299,"Whitesnake",247,1978,"United Kingdom",1978,"Hard rock"
300,"Quo Vadis",246,1992,"Canada",-,"Technical death"
301,"Mercenary",245,1991,"Denmark",1991,"Melodic death,Thrash,Gothenburg,Heavy"
302,"Pestilence",245,1986,"The Netherlands",-,"Death,Progressive death,Technical death"
303,"The Agonist",244,2004,"Canada",2004,"Metalcore,Melodic death"
304,"Cavalera Conspiracy",243,2007,"USA",-,"Thrash"
305,"Mudvayne",243,1996,"USA",1996,"Nu,Alternative"
306,"Origin",243,1997,"USA",-,"Technical death"
307,"The Ocean",243,2000,"Germany",2000,"Post-metal,Sludge,Hardcore"
308,"Vintersorg",243,1994,"Sweden",-,"Black,Progressive,Folk"
309,"Voivod",243,1982,"Canada",1982,"Thrash,Progressive"
310,"Fates Warning",242,1982,"USA",-,"Us power,Progressive"
311,"Skid Row",240,1987,"USA",1987,"Heavy,Hard rock"
312,"Unexpect",239,1996,"Canada",2015,"Extreme avantgarde"
313,"Vital Remains",239,1989,"USA",1989,"Death"
314,"Kvelertak",238,2007,"Norway",-,"Blackened hardcore,Punk"
315,"1349",236,1997,"Norway",1997,"Black"
316,"Mötley Crüe",236,1981,"USA",2015,"Glam rock,Glam"
317,"Tankard",236,1982,"Germany",1982,"Thrash"
318,"Dragonland",235,1999,"Sweden",-,"Symphonic power"
319,"Cattle Decapitation",234,1996,"USA",1996,"Deathgrind,Goregrind"
320,"Revocation",234,2006,"USA",-,"Technical death,Thrash"
321,"Pagan's Mind",233,2000,"Norway",2000,"Progressive,Power"
322,"Artillery",232,1982,"Denmark",-,"Thrash"
323,"Shade Empire",232,1999,"Finland",1999,"Symphonic black"
324,"Arsis",231,2000,"USA",-,"Melodic death,Technical death"
325,"Autopsy",231,1987,"USA",1987,"Death"
326,"Dark Fortress",230,1994,"Germany",-,"Black"
327,"Lake Of Tears",230,1992,"Sweden",1992,"Gothic,Doom"
328,"Daylight Dies",229,1996,"USA",-,"Melodic death,Doom"
329,"Lost Horizon",229,1990,"Sweden",1990,"Power"
330,"TesseracT",226,2003,"United Kingdom",-,"Progressive math,Djent"
331,"Keep Of Kalessin",222,1994,"Norway",1994,"Black,Melodic black,Progressive black"
332,"Toxic Holocaust",222,1999,"USA",-,"Blackened thrash,Crossover thrash"
333,"Possessed",220,1983,"USA",1983,"Death,Thrash"
334,"3 Inches Of Blood",219,1999,"Canada",2015,"Heavy,Power"
335,"Allegaeon",218,2005,"USA",2005,"Technical death,Melodic death"
336,"Beyond Creation",217,2005,"Canada",-,"Technical death,Progressive death"
337,"Catamenia",215,1995,"Finland",1995,"Melodic black,Melodic death,Heavy"
338,"Def Leppard",215,1977,"United Kingdom",-,"New wave of british heavy,Hard rock"
339,"Hatebreed",215,1994,"USA",1994,"Hardcore,Metalcore"
340,"Heavenly",215,1994,"France",-,"Power"
341,"Heidevolk",215,2002,"The Netherlands",2002,"Folk"
342,"Soundgarden",215,1984,"USA",-,"Grunge ,Stoner"
343,"Textures",215,2001,"The Netherlands",2001,"Progressive math"
344,"Sigh",214,1989,"Japan",-,"Death,Black,Avantgarde,Thrash"
345,"Antimatter",213,1998,"United Kingdom",1998,"Atmospheric rock"
346,"Clutch",213,1990,"USA",-,"Hard rock,Stoner rock"
347,"Crematory",211,1991,"Germany",1991,"Death,Gothic"
348,"Gorod",211,1997,"France",-,"Technical death"
349,"Les Discrets",211,2003,"France",2003,"Black,Shoegaze"
350,"October Tide",211,1995,"Sweden",-,"Death doom"
351,"Periphery",211,2005,"USA",2005,"Progressive math,Djent"
352,"Seventh Wonder",211,2000,"Sweden",-,"Progressive"
353,"Stone Sour",209,1992,"USA",1992,"Hard rock,Alternative"
354,"Estatic Fear",208,1994,"Austria",1999,"Symphonic doom"
355,"Malevolent Creation",208,1987,"USA",1987,"Death"
356,"Esoteric",207,1992,"United Kingdom",-,"Psychedelic doom,Funeral doom"
357,"Hate Eternal",207,1996,"USA",1996,"Brutal death"
358,"The Foreshadowing",207,1999,"Italy",-,"Doom,Gothic"
359,"Atoma",206,2011,"Sweden",2011,"Post-metal,Post-rock"
360,"Deathstars",206,2000,"Sweden",-,"Industrial gothic"
361,"Luca Turilli's Rhapsody",206,2011,"Italy",2011,"Symphonic power"
362,"Iron Savior",205,1996,"Germany",-,"Power"
363,"Asphyx",204,1987,"The Netherlands",1987,"Death"
364,"Control Denied",204,1995,"USA",2001,"Progressive"
365,"Job For A Cowboy",203,2002,"USA",2002,"Deathcore,Death"
366,"Heaven And Hell",201,2006,"USA",2010,"Heavy"
367,"Thyrfing",200,1995,"Sweden",1995,"Viking black"
368,"Ministry",199,1981,"USA",-,"Industrial,Synth pop"
369,"Queens Of The Stone Age",199,1997,"USA",1997,"Stoner,Stoner rock"
370,"Slumber",199,2002,"Sweden",2010,"Melodic doom"
371,"Threshold",199,1988,"United Kingdom",1988,"Progressive"
372,"Grave",198,1986,"Sweden",-,"Death"
373,"Naglfar",198,1992,"Sweden",1992,"Melodic black"
374,"Benighted",197,1998,"France",-,"Brutal death,Blackened death,Grindcore"
375,"Lordi",195,1992,"Finland",1992,"Hard rock,Glam"
376,"Alter Bridge",194,2004,"USA",-,"Hard rock,Rock"
377,"Doom:VS",194,2004,"Sweden",2004,"Funeral doom"
378,"Finsterforst",194,2004,"Germany",-,"Pagan folk"
379,"Luca Turilli",192,1999,"Italy",1999,"Symphonic power"
380,"Shadows Fall",192,1996,"USA",-,"Modern thrash,Melodic death"
381,"Steve Vai",191,1982,"USA",1982,"Progressive rock"
382,"Twisted Sister",191,1972,"USA",-,"Hard rock,Glam"
383,"Suicidal Tendencies",190,1981,"USA",1981,"Crossover thrash,Hardcore,Punk"
384,"Whitechapel",189,2006,"USA",-,"Deathcore"
385,"Jeff Loomis",188,2005,"USA",2005,"Progressive,Instrumental"
386,"Månegarm",188,1995,"Sweden",-,"Black,Viking folk"
387,"Van Canto",188,2006,"Germany",2006,"Power,A,Cappella"
388,"Nuclear Assault",187,1984,"USA",-,"Thrash"
389,"A Forest Of Stars",186,2007,"United Kingdom",2007,"Atmospheric black"
390,"All Shall Perish",186,2002,"USA",-,"Deathcore"
391,"The Sword",186,2003,"USA",2003,"Doom,Stoner"
392,"Caladan Brood",185,2008,"USA",-,"Atmospheric black,Folk"
393,"Galneryus",185,2001,"Japan",2001,"Power"
394,"Adagio",184,2000,"France",-,"Progressive,Symphonic power"
395,"Akercocke",184,1996,"United Kingdom",1996,"Black,Death,Progressive death"
396,"Axel Rudi Pell",184,1989,"Germany",-,"Heavy,Power"
397,"Edenbridge",184,1998,"Austria",1998,"Symphonic,Progressive,Power"
398,"Inquisition",184,1988,"Colombia, USA",-,"Black,Thrash"
399,"Chthonic",183,1995,"Taiwan",1995,"Melodic black,Extreme power,Folk"
400,"Dark Angel",183,1981,"USA",-,"Bay area thrash"
401,"Parkway Drive",183,2002,"Australia",2002,"Metalcore"
402,"Psycroptic",183,1999,"Australia",-,"Technical death"
403,"Poisonblack",182,2000,"Finland",2000,"Suomi,Depressive heavy"
